id,word,pos,cefr
2148,outdoors,adv.,B1
2149,outer,adj.,B2
2150,outline,v.; n.,B2
2151,output,n.,C2
2152,outside,n.; adj.; prep.; adv.,A1
2153,outstanding,adj.,B2
2154,oven,n.,B1
2155,over,adv.; prep.,A2
2156,overall,adj.; adv.,B2
2157,overcome,v.,B2
2158,owe,v.,B1
2159,own,adj.; pron.; v.,A2
2160,owner,n.,B1
2161,p,"abbr. page, penny",A1
2162,p.m.,abbr.,A1
2163,pace,n.,B2
2164,pack,v.; n.,A2
2165,package,n.; v.,B2
2166,packaging,n.,B2
2167,packet,n.,B1
2168,page,n.; abbr. p,A1
2169,pain,n.,A2
2170,painful,adj.,B1
2171,paint,n.; v.,A1
2172,painter,n.,A2
2173,painting,n.,A2
2174,pair,n.,A1
2175,palace,n.,B1
2176,pale,adj.,A2
2177,pan,n.,B1
2178,panel,n.,C1
2179,pants,n.,B1
2180,paper,n.,A1
2181,parallel,adj.,C2
2182,parent,n.,A1
2183,park,n.; v.,A1
2184,parliament,n.,B2
2185,part,n.,A1
2186,particular,adj.,B2
2187,particularly,adv.,B1
2188,partly,adv.,B1
2189,partner,n.,A2
2190,partnership,n.,B2
2191,party,n.,A1
2192,pass,v.,A2
2193,passage,n.,B2
2194,passenger,n.,A2
2195,passing,n.; adj.,B1
2196,passport,n.,A2
2197,past,adj.; n.; prep.; adv.,A2
2198,path,n.,A2
2199,patience,n.,B2
2200,patient,n.; adj.,B1
2201,pattern,n.,B1
2202,pause,v.; n.,B1
2203,pay,v.; n.,A1
2204,pay attention,,B1
2205,payment,n.,B2
2206,peace,n.,B1
2207,peaceful,adj.,B1
2208,peak,n.,B1
2209,pen,n.,A1
2210,pence,n.,A2
2211,pencil,n.,A1
2212,penny,,B1
2213,penny,n.; abbr. p,B1
2214,pension,n.,B2
2215,people,n.,A1
2216,pepper,n.,A2
2217,per,prep.,A2
2218,per cent,n.; adj.; adv.,B1
2219,perfect,adj.,A2
2220,perfectly,adv.,B1
2221,perform,v.,B1
2222,performance,n.,B1
2223,performer,n.,B1
2224,perhaps,adv.,A2
2225,period,n.,B1
2226,permanent,adj.,B1
2227,permanently,adv.,B2
2228,permission,n.,B1
2229,permit,v.,B1
2230,person,n.,A1
2231,personal,adj.,B1
2232,personality,n.,B2
2233,personally,adv.,B1
2234,persuade,v.,B1
2235,pet,n.,A1
2236,petrol,n.,A2
2237,phase,n.,B2
2238,philosophy,n.,B2
2239,"phone, telephone",,A1
2240,photocopy,n.; v.,B1
2241,"photograph,)",n.; v.; also photo (n.,A2
2242,photographer,n.,A2
2243,photography,n.,A2
2244,phrase,n.,B1
2245,physical,adj.,B2
2246,physically,adv.,B2
2247,physics,n.,A2
2248,piano,n.,A2
2249,pick,v.,B1
2250,pick sth up,,A2
2251,picture,n.,A1
2252,piece,n.,A2
2253,pig,n.,A1
2254,pile,n.; v.,B1
2255,pill,n.,B1
2256,pilot,n.,A2
2257,pin,n.; v.,B1
2258,pink,adj.; n.,A2
2259,pint,n.; abbr. pt,B2
2260,pipe,n.,B1
2261,pitch,n.,B2
2262,pity,n.,B2
2263,place,n.; v.,A1
2264,plain,adj.,B1
2265,plan,n.; v.,A2
2266,plane,n.,A1
2267,planet,n.,B1
2268,planning,n.,B2
2269,plant,n.; v.,A1
2270,plastic,n.; adj.,A2
2271,plate,n.,A1
2272,platform,n.,A2
2273,play,v.; n.,A1
2274,player,n.,A1
2275,pleasant,adj.,A2
2276,pleasantly,adv.,B1
2277,please,exclamation; v.,A1
2278,pleased,adj.,A2
2279,pleasing,adj.,A2
2280,pleasure,n.,B1
2281,plenty,pron.; adv.; n.; det.,B1
2282,plot,n.; v.,B2
2283,plug,n.,B1
2284,plus,prep.; n.; adj.; conj.,A2
2285,pocket,n.,A2
2286,poem,n.,B1
2287,poetry,n.,B1
2288,point,n.; v.,B1
2289,pointed,adj.,B2
2290,poison,n.; v.,B2
2291,poisonous,adj.,B2
2292,pole,n.,C2
2293,police,n.,A2
2294,policy,n.,B2
2295,polish,n.; v.,B2
2296,polite,adj.,A2
2297,politely,adv.,B1
2298,political,adj.,B1
2299,politically,adv.,C1
2300,politician,n.,B1
2301,politics,n.,B1
2302,pollution,n.,B1
2303,pool,n.,A2
2304,poor,adj.,A1
2305,pop,n.; v.,A2
2306,popular,adj.,A2
2307,population,n.,B1
2308,port,n.,B1
2309,pose,v.; n.,C1
2310,position,n.,B1
2311,positive,adj.,B1
2312,possess,v.,C1
2313,possession,n.,B2
2314,possibility,n.,B1
2315,possible,adj.,A1
2316,possibly,adv.,A2
2317,post,n.; v.,A2
2318,post office,n.,A2
2319,pot,n.,B1
2320,potato,n.,A1
2321,potential,adj.; n.,B2
2322,potentially,adv.,B2
2323,pound,n.,A2
2324,pour,v.,B1
2325,powder,n.,B1
2326,power,n.,B1
2327,powerful,adj.,B1
2328,practical,adj.,B2
2329,practically,adv.,B2
2330,practice,n.; v.,A2
2331,practise,v.,A1
2332,praise,n.; v.,B2
2333,prayer,n.,B1
2334,precise,adj.,B2
2335,precisely,adv.,B2
2336,predict,v.,B1
2337,prefer,v.,A2
2338,preference,n.,B2
2339,pregnant,adj.,B1
2340,premises,n.,C1
2341,preparation,n.,B2
2342,prepare,v.,A2
2343,prepared,adj.,A2
2344,presence,n.,B2
2345,present,adj.; n.; v.,A1
2346,presentation,n.,B1
2347,preserve,v.,B2
2348,president,n.,B1
2349,press,n.; v.,B1
2350,pressure,n.,B2
2351,presumably,adv.,B2
2352,pretend,v.,B2
2353,pretty,adv.; adj.,A2
2354,prevent,v.,B1
2355,previous,adj.,B1
2356,previously,adv.,B1
2357,price,n.,A2
2358,pride,n.,B2
2359,priest,n.,B1
2360,primarily,adv.,B2
2361,primary,adj.,B2
2362,prime minister,n.,B2
2363,prince,n.,B1
2364,princess,n.,B1
2365,principle,n.,C1
2366,print,v.; n.,A2
2367,printer,n.,A2
2368,printing,n.,A2
2369,prior,adj.,C1
2370,priority,n.,B2
2371,prison,n.,B1
2372,prisoner,n.,B1
2373,private,adj.,B1
2374,privately,adv.,B2
2375,prize,n.,A2
2376,probable,adj.,B2
2377,probably,adv.,A2
2378,problem,n.,A2
2379,procedure,n.,B2
2380,proceed,v.,C1
2381,process,n.; v.,B2
2382,produce,v.,B1
2383,producer,n.,B2
2384,product,n.,B1
2385,production,n.,B2
2386,profession,n.,B1
2387,professional,adj.; n.,B1
2388,professor,n.,B1
2389,profit,n.,B2
2390,program,n.; v.,A2
2391,programme,n.,A2
2392,progress,n.; v.,B1
2393,project,n.; v.,A2
2394,promise,v.; n.,B1
2395,promote,v.,B1
2396,promotion,n.,B2
2397,prompt,adj.; v.,B2
2398,promptly,adv.,B2
2399,pronounce,v.,B1
2400,pronunciation,n.,B1
2401,proof,n.,B2
2402,proper,adj.,B1
2403,properly,adv.,B1
2404,property,n.,B1
2405,proportion,n.,C1
2406,proposal,n.,B2
2407,propose,v.,B2
2408,prospect,n.,B2
2409,protect,v.,B1
2410,protection,n.,B2
2411,protest,n.; v.,B2
2412,proud,adj.,B1
2413,proudly,adv.,B2
2414,prove,v.,B1
2415,provide,v.,B1
2416,provided,conj.,B2
2417,pt,abbr. pint,B2
2418,pub,n.,A2
2419,public,adj.; n.,B1
2420,publication,n.,B2
2421,publicity,n.,B2
2422,publicly,adv.,C1
2423,publish,v.,B1
2424,publishing,n.,B1
2425,pull,v.; n.,A2
2426,punch,v.; n.,B2
2427,punish,v.,B1
2428,punishment,n.,B2
2429,pupil,n.,A2
2430,purchase,n.; v.,B2
2431,pure,adj.,B1
2432,purely,adv.,C1
2433,purple,adj.; n.,A2
2434,purpose,n.,B1
2435,pursue,v.,C1
2436,push,v.; n.,A2
2437,put,v.,A1
2438,put sth on,,A2
2439,put sth out,,B1
2440,qualification,n.,B1
2441,qualified,adj.,B1
2442,qualify,v.,B2
2443,quality,n.,B1
2444,quantity,n.,B1
2445,quarter,n.,A1
2446,queen,n.,A2
2447,question,n.; v.,A1
2448,quick,adj.,A1
2449,quickly,adv.,A2
2450,quiet,adj.,A2
2451,quietly,adv.,B1
2452,quit,v.,B1
2453,quite,adv.,A2
2454,quote,v.,C1
2455,race,n.; v.,A2
2456,racing,n.,A2
2457,radio,n.,A1
2458,rail,n.,B1
2459,railway,n.,A2
2460,rain,n.; v.,A1
2461,raise,v.,B1
2462,range,n.,B1
2463,rank,n.; v.,C1
2464,rapid,adj.,B2
2465,rapidly,adv.,B2
2466,rare,adj.,B1
2467,rarely,adv.,B1
2468,rate,n.; v.,B1
2469,rather,adv.,B1
2470,rather than,,B1
2471,raw,adj.,B1
2472,re-,prefix,B2
2473,reach,v.,B1
2474,react,v.,B2
2475,reaction,n.,B2
2476,read,v.,A1
2477,reader,n.,B1
2478,reading,n.,A1
2479,ready,adj.,A1
2480,real,adj.,A2
2481,realistic,adj.,B1
2482,reality,n.,B2
2483,realize,v.,B1
2484,really,adv.,A1
2485,"really, real",,A2
2486,rear,n.; adj.,B2
2487,reason,n.,A2
2488,reasonable,adj.,B1
2489,reasonably,adv.,B1
2490,recall,v.,B2
2491,receipt,n.,A2
2492,receive,v.,A2
2493,recent,adj.,B1
2494,recently,adv.,B1
2495,reception,n.,B1
2496,reckon,v.,B2
2497,recognition,n.,C2
2498,recognize,v.,B1
2499,recommend,v.,B1
2500,record,n.; v.,A2
2501,recording,n.,B1
2502,recover,v.,B1
2503,red,adj.; n.,A1
2504,reduce,v.,B1
2505,reduction,n.,B2
2506,refer to,v.,B2
2507,reference,n.,B2
2508,reflect,v.,B2
2509,reform,v.; n.,C2
2510,refrigerator,n.,A1
2511,refusal,n.,C1
2512,refuse,v.,B1
2513,regard,v.; n.,B2
2514,regarding,prep.,B1
2515,region,n.,B1
2516,regional,adj.,B2
2517,register,v.; n.,B1
2518,regret,v.; n.,B1
2519,regular,adj.,B1
2520,regularly,adv.,B1
2521,regulation,n.,B2
2522,reject,v.,B2
2523,relate,v.,C2
2524,related,adj.,C1
2525,relation,n.,B1
2526,relationship,n.,B1
2527,relative,adj.; n.,B1
2528,relatively,adv.,B2
2529,relax,v.,B1
2530,relaxed,adj.,B1
2531,relaxing,adj.,B1
2532,release,v.; n.,B2
2533,relevant,adj.,B2
2534,relief,n.,B2
2535,religion,n.,B1
2536,religious,adj.,B2
2537,rely on,v.,B2
2538,remain,v.,B1
2539,remaining,adj.,B2
2540,remains,n.,B2
2541,remark,n.; v.,B2
2542,remarkable,adj.,B2
2543,remarkably,adv.,C1
2544,remember,v.,A1
2545,remind,v.,B1
2546,remote,adj.,B2
2547,removal,n.,B2
2548,remove,v.,B1
2549,rent,n.; v.,A2
2550,rented,adj.,A2
2551,repair,v.; n.,A2
2552,repeat,v.,A2
2553,repeated,adj.,C2
2554,repeatedly,adv.,C1
2555,replace,v.,B1
2556,reply,n.; v.,B1
2557,report,v.; n.,B1
2558,represent,v.,B2
2559,representative,n.; adj.,B2
2560,reproduce,v.,C1
2561,reputation,n.,B2
2562,request,n.; v.,B1
2563,require,v.,B1
2564,requirement,n.,B2
2565,rescue,v.; n.,B1
2566,research,n.,B1
2567,reservation,n.,B1
2568,reserve,v.; n.,B1
2569,resident,n.; adj.,B2
2570,resist,v.,B2
2571,resistance,n.,C2
2572,resolve,v.,C1
2573,resort,n.,B1
2574,resource,n.,B2
2575,respect,n.; v.,B1
2576,respond,v.,B2
2577,response,n.,B2
2578,responsibility,n.,B2
2579,responsible,adj.,B2
2580,rest,n.; v.,A2
2581,restaurant,n.,A1
2582,restore,v.,B2
2583,restrict,v.,C1
2584,restricted,adj.,C1
2585,restriction,n.,C1
2586,result,n.; v.,B1
2587,retain,v.,C2
2588,retire,v.,B1
2589,retired,adj.,B2
2590,retirement,n.,B2
2591,return,v.; n.,A2
2592,reveal,v.,B2
2593,reverse,v.; n.,B2
2594,review,n.; v.,B2
2595,revise,v.,B1
2596,revision,n.,B1
2597,revolution,n.,B2
2598,reward,n.; v.,B1
2599,rhythm,n.,B2
2600,rice,n.,A1
2601,rich,adj.,A2
2602,rid: get rid of,v.,B1
2603,ride,v.; n.,A1
2604,rider,n.,B1
2605,ridiculous,adj.,B2
2606,riding,n.,A2
2607,right,adj.; adv.; n.,A1
2608,rightly,adv.,B2
2609,ring,n.; v.,A2
2610,rise,n.; v.,B1
2611,risk,n.; v.,B2
2612,rival,n.; adj.,C1
2613,river,n.,A1
2614,road,n.,A1
2615,rob,v.,B1
2616,rock,n.,A2
2617,role,n.,B1
2618,roll,n.; v.,B2
2619,romantic,adj.,B1
2620,roof,n.,A2
2621,room,n.,A1
2622,root,n.,B2
2623,rope,n.,B2
2624,rough,adj.,B1
2625,roughly,adv.,B2
2626,round,adj.; adv.; prep.; n.,A2
2627,rounded,adj.,A2
2628,route,n.,B1
2629,routine,n.; adj.,B1
2630,row,n.,B1
2631,royal,adj.,B2
2632,rub,v.,B2
2633,rubber,n.,A2
2634,rubbish,n.,B1
2635,rude,adj.,B1
2636,rudely,adv.,C1
2637,ruin,v.; n.,B1
2638,ruined,adj.,B2
2639,rule,n.; v.,B1
2640,ruler,n.,A2
2641,rumour,n.,B2
2642,run,v.; n.,A1
2643,runner,n.,A2
2644,running,n.,A2
2645,rural,adj.,B2
2646,rush,v.; n.,B2
2647,sack,n.; v.,B2
2648,sad,adj.,A1
2649,sadly,adv.,B2
2650,sadness,n.,B2
2651,safe,adj.,A1
2652,safely,adv.,B1
2653,safety,n.,B2
2654,sail,v.; n.,B1
2655,sailing,n.,B1
2656,sailor,n.,B1
2657,salad,n.,A2
2658,salary,n.,B1
2659,sale,n.,A2
2660,salt,n.,A1
2661,salty,adj.,B2
2662,same,adj.; pron.,A1
2663,sample,n.,B2
2664,sand,n.,B1
2665,satisfaction,n.,B2
2666,satisfied,adj.,B1
2667,satisfy,v.,B2
2668,satisfying,adj.,B2
2669,Saturday,n.; abbr. Sat.,A1
2670,sauce,n.,A2
2671,save,v.,A2
2672,saving,n.,C1
2673,say,v.,A1
2674,scale,n.,B2
2675,scare,v.; n.,C1
2676,scared,adj.,B2
2677,scene,n.,B1
2678,schedule,n.; v.,B2
2679,scheme,n.,B2
2680,school,n.,A1
2681,science,n.,A2
2682,scientific,adj.,B1
2683,scientist,n.,B1
2684,scissors,n.,A2
2685,score,n.; v.,B1
2686,scratch,v.; n.,B2
2687,scream,v.; n.,B1
2688,screen,n.,A2
2689,screw,n.; v.,B2
2690,sea,n.,A1
2691,seal,n.; v.,B2
2692,search,n.; v.,B1
2693,season,n.,B1
2694,seat,n.,A2
2695,second,det.; ordinal number; adv.; n.,A1
2696,secondary,adj.,B1
2697,secret,adj.; n.,B1
2698,secretary,n.,A2
2699,secretly,adv.,B1
2700,section,n.,B1
2701,sector,n.,C1
2702,secure,adj.; v.,B2
2703,security,n.,B1
2704,see,v.,A1
2705,seed,n.,B2
2706,seek,v.,B2
2707,seem,linking verb,B1
2708,select,v.,B1
2709,selection,n.,B2
2710,self-,combining form,B2
2711,self,n.,C1
2712,sell,v.,A2
2713,senate,n.,C2
2714,senator,n.,C2
2715,send,v.,A1
2716,senior,adj.; n.,B2
2717,sense,n.,B1
2718,sensible,adj.,B1
2719,sensitive,adj.,B2
2720,sentence,n.,A1
2721,separate,adj.; v.,B1
2722,separated,adj.,B2
2723,separately,adv.,B2
2724,separation,n.,B2
2725,September,n.; abbr. Sept.,A1
2726,series,n.,B1
2727,serious,adj.,B1
2728,seriously,adv.,B1
2729,servant,n.,B2
2730,serve,v.,A2
2731,service,n.,B1
2732,session,n.,B1
2733,set,n.; v.,B1
2734,set fire to,,C2
2735,settle,v.,B2
2736,several,det.; pron.,A2
2737,severe,adj.,B2
2738,severely,adv.,B2
2739,sew,v.,B1
2740,sewing,n.,C1
2741,sex,n.,B1
2742,sexual,adj.,B2
2743,sexually,adv.,B2
2744,shade,n.,B1
2745,shadow,n.,B1
2746,shake,v.; n.,B1
2747,shall,modal; v.,A2
2748,shallow,adj.,B2
2749,shame,n.,C1
2750,shape,n.; v.,B1
2751,shaped,adj.,B2
2752,share,v.; n.,A2
2753,sharp,adj.,B1
2754,sharply,adv.,B2
2755,shave,v.,B1
2756,she,pron.,A1
2757,sheep,n.,A1
2758,sheet,n.,A2
2759,shelf,n.,A2
2760,shell,n.,B2
2761,shelter,n.; v.,B2
2762,shift,v.; n.,B2
2763,shine,v.,B1
2764,shiny,adj.,B1
2765,ship,n.,A2
2766,shirt,n.,A1
2767,shock,n.; v.,B1
2768,shocked,adj.,B1
2769,shocking,adj.,B1
2770,shoe,n.,A1
2771,shoot,v.,B1
2772,shooting,n.,B2
2773,shop,n.; v.,A1
2774,shopping,n.,A1
2775,short,adj.,A1
2776,shortly,adv.,B1
2777,shot,n.,B2
2778,should,modal; v.,A2
2779,shoulder,n.,B1
2780,shout,v.; n.,A2
2781,show,v.; n.,A1
2782,shower,n.,A1
2783,shut,v.; adj.,A2
2784,shy,adj.,B1
2785,sick,adj.,A2
2786,side,n.,A2
2787,sideways,adj.; adv.,C2
2788,sight,n.,B1
2789,sign,n.; v.,A2
2790,signal,n.; v.,B2
2791,signature,n.,B1
2792,significant,adj.,B2
2793,significantly,adv.,B2
2794,silence,n.,B1
2795,silent,adj.,B1
2796,silk,n.,B1
2797,silly,adj.,B1
2798,silver,n.; adj.,A2
2799,similar,adj.,B1
2800,similarly,adv.,C1
2801,simple,adj.,A2
2802,simply,adv.,B2
2803,since,prep.; conj.; adv.,A2
2804,sincere,adj.,C1
2805,sincerely,adv.,C1
2806,sing,v.,A1
2807,singer,n.,A2
2808,singing,n.,A2
2809,single,adj.,A2
2810,sink,v.,A2
2811,Sir,n.,B1
2812,sister,n.,A1
2813,sit,v.,A1
2814,sit down,,A2
2815,site,n.,A1
2816,situation,n.,B1
2817,size,n.,A2
2818,-sized,,B2
2819,skilful,adj.,B2
2820,skilfully,adv.,B2
2821,skill,n.,B1
2822,skilled,adj.,B2
2823,skin,n.,B1
2824,skirt,n.,A1
2825,sky,n.,A2
2826,sleep,v.; n.,A1
2827,sleeve,n.,B1
2828,slice,n.; v.,A2
2829,slide,v.,B2
2830,slight,adj.,B2
2831,slightly,adv.,B2
2832,slip,v.,B1
2833,slope,n.; v.,B2
2834,slow,adj.,A1
2835,slowly,adv.,A2
2836,small,adj.,A1
2837,smart,adj.,B1
2838,smash,v.; n.,B2
2839,smell,v.; n.,B1
2840,smile,v.; n.,B1
2841,smoke,n.; v.,A1
2842,smoking,n.,A1
2843,smooth,adj.,B1
2844,smoothly,adv.,B2
2845,snake,n.,A2
2846,snow,n.; v.,A1
2847,so,adv.; conj.,A2
2848,so that,,B1
2849,soap,n.,A2
2850,social,adj.,B1
2851,socially,adv.,B2
2852,society,n.,B1
2853,sock,n.,A2
2854,soft,adj.,A2
2855,softly,adv.,B1
2856,software,n.,A2
2857,soil,n.,B2
2858,soldier,n.,B1
2859,solid,adj.; n.,B2
2860,solution,n.,B1
2861,solve,v.,B1
2862,some,det.; pron.,A1
2863,somebody,pron.,A2
2864,somehow,adv.,B1
2865,something,pron.,A1
2866,sometimes,adv.,A1
2867,somewhat,adv.,C1
2868,somewhere,adv.,A2
2869,son,n.,A1
2870,song,n.,A2
2871,soon,adv.,A1
2872,sore,adj.,B1
2873,sorry,adj.,A1
2874,sort,n.; v.,A2
2875,soul,n.,A2
2876,sound,n.; v.,A2
2877,soup,n.,A1
2878,sour,adj.,B1
2879,source,n.,B2
2880,south,n.; adj.; adv.,A2
2881,southern,adj.,B1
2882,space,n.,A2
2883,spare,adj.; n.,B1
2884,speak,v.,A1
2885,speaker,n.,A2
2886,special,adj.,A2
2887,specialist,n.,B2
2888,specially,adv.,B1
2889,specific,adj.,B2
2890,specifically,adv.,C1
2891,speech,n.,B1
2892,speed,n.,B1
2893,spell,v.; n.,A2
2894,spelling,n.,A2
2895,spend,v.,A2
2896,spice,n.,B1
2897,spicy,adj.,B1
2898,spider,n.,B1
2899,spin,v.,C1
2900,spirit,n.,B2
2901,spiritual,adj.,B2
2902,spite: in spite of,n.,B1
2903,split,v.; n.,B2
2904,spoil,v.,B1
2905,spoken,adj.,A2
2906,"spoken, speak",,A2
2907,spoon,n.,A2
2908,sport,n.,A1
2909,spot,n.,B1
2910,spray,n.; v.,B2
2911,spread,v.,B2
2912,spring,n.,A2
2913,square,adj.; n.,A2
2914,squeeze,v.; n.,B2
2915,stable,adj.; n.,C1
2916,staff,n.,A2
2917,stage,n.,A2
2918,stair,n.,A2
2919,stamp,n.; v.,A2
2920,stand,v.; n.,A2
2921,stand up,,B2
2922,standard,n.; adj.,B2
2923,star,n.; v.,A2
2924,stare,v.; n.,B2
2925,start,v.; n.,A1
2926,state,n.; adj.; v.,B2
2927,statement,n.,B2
2928,station,n.,A1
2929,statue,n.,B1
2930,status,n.,C1
2931,stay,v.; n.,A1
2932,steadily,adv.,B2
2933,steady,adj.,B2
2934,steal,v.,A2
2935,steam,n.,B2
2936,steel,n.,B2
2937,steep,adj.,B1
2938,steeply,adv.,B2
2939,steer,v.,B2
2940,step,n.; v.,B1
2941,stick,v.; n.,B1
2942,stick out,,B2
2943,sticky,adj.,B1
2944,stiff,adj.,B2
2945,stiffly,adv.,B2
2946,still,adv.; adj.,A2
2947,sting,v.; n.,C1
2948,stir,v.,B1
2949,stock,n.,B2
2950,stomach,n.,A2
2951,stone,n.,B1
2952,stop,v.; n.,A1
2953,store,n.; v.,B1
2954,storm,n.,A2
2955,story,n.,A2
2956,stove,n.,A2
2957,straight,adv.; adj.,A2
2958,strain,n.,B2
2959,strange,adj.,A2
2960,strangely,adv.,B2
2961,stranger,n.,B1
2962,strategy,n.,B2
2963,stream,n.,B1
2964,street,n.,A1
2965,strength,n.,B2
2966,stress,n.; v.,B1
2967,stressed,adj.,B1
2968,stretch,v.,B2
2969,strict,adj.,B1
2970,strictly,adv.,B2
2971,strike,v.; n.,B1
2972,striking,adj.,B2
2973,string,n.,B2
2974,strip,v.; n.,C1
2975,stripe,n.,B1
2976,striped,adj.,B2
2977,stroke,n.; v.,B2
2978,strong,adj.,A2
2979,strongly,adv.,B2
2980,structure,n.,B2
2981,struggle,v.; n.,B2
2982,student,n.,A1
2983,studio,n.,B1
2984,study,n.; v.,A1
2985,stuff,n.,B1
2986,stupid,adj.,B1
2987,style,n.,B1
2988,subject,n.,A1
2989,substance,n.,B2
2990,substantial,adj.,B2
2991,substantially,adv.,C1
2992,substitute,n.; v.,B2
2993,succeed,v.,B1
2994,success,n.,B1
2995,successful,adj.,B1
2996,successfully,adv.,B2
2997,such,det.; pron.,A2
2998,such as,,A2
2999,suck,v.,C2
3000,sudden,adj.,B2
3001,suddenly,adv.,B1
3002,suffer,v.,B2
3003,suffering,n.,B2
3004,sufficient,adj.,B2
3005,sufficiently,adv.,C1
3006,sugar,n.,A1
3007,suggest,v.,B1
3008,suggestion,n.,B1
3009,suit,n.; v.,A2
3010,suitable,adj.,B1
3011,suitcase,n.,A2
3012,suited,adj.,C1
3013,sum,n.,B1
3014,summary,n.,B2
3015,summer,n.,A1
3016,sun,n.,A1
3017,Sunday),n.; abbr. Su(n.,A1
3018,superior,adj.,C1
3019,supermarket,n.,A1
3020,supply,n.; v.,B2
3021,support,n.; v.,B2
3022,supporter,n.,B1
3023,suppose,v.,A2
3024,sure,adj.; adv.,A2
3025,surely,adv.,B2
3026,surface,n.,B2
3027,surname,n.,A2
3028,surprise,n.; v.,A2
3029,surprised,adj.,A2
3030,surprising,adj.,B1
3031,surprisingly,adv.,B1
3032,surround,v.,B1
3033,surrounding,adj.,B1
3034,surroundings,n.,B2
3035,survey,n.; v.,B2
3036,survive,v.,B2
3037,suspect,v.; n.,B2
3038,suspicion,n.,B2
3039,suspicious,adj.,B2
3040,swallow,v.,B2
3041,swear,v.,B2
3042,swearing,n.,B2
3043,sweat,n.; v.,B2
3044,sweater,n.,A2
3045,sweep,v.,B2
3046,sweet,adj.; n.,A1
3047,swell,v.,C1
3048,swelling,n.,C1
3049,swim,v.,A1
3050,swimming,n.,A2
3051,swimming pool,n.,A1
3052,swing,n.; v.,B2
3053,switch,n.; v.,B1
3054,switch sth off,,B1
3055,switch sth on,,B1
3056,swollen,adj.,B2
3057,"swollen, swell",,B2
3058,symbol,n.,B2
3059,sympathetic,adj.,B2
3060,sympathy,n.,B2
3061,system,n.,B1
3062,table,n.,A1
3063,tablet,n.,B1
3064,tackle,v.; n.,B2
3065,tail,n.,B2
3066,take over,,B2
3067,take,v.,A1
3068,take action,,B2
3069,take advantage of,,B1
3070,take care,,B1
3071,take notice of,,B2
3072,take part,,B1
3073,take place,,B1
3074,take sth off,,A2
3075,talk,v.; n.,A1
3076,tall,adj.,A1
3077,tank,n.,C1
3078,"tap,.",v.; n.,B1
3079,tape,n.,A2
3080,target,n.,B2
3081,task,n.,B2
3082,taste,n.; v.,B1
3083,tax,n.; v.,B1
3084,taxi,n.,A1
3085,tea,n.,A1
3086,teach,v.,A1
3087,teacher,n.,A1
3088,teaching,n.,A1
3089,team,n.,A2
3090,tear,n.,B1
3091,tear,v.; n.,B1
3092,technical,adj.,B2
3093,technique,n.,B1
3094,technology,n.,B1
3095,telephone,n.; v.,A1
3096,television,n.,A1
3097,tell,v.,A1
3098,temperature,n.,A2
3099,temporarily,adv.,B2
3100,temporary,adj.,B1
3101,tend,v.,B2
3102,tendency,n.,C1
3103,tension,n.,B2
3104,tent,n.,B1
3105,term,n.,A2
3106,terrible,adj.,A2
3107,terribly,adv.,B1
3108,test,n.; v.,A1
3109,text,n.,A2
3110,than,prep.; conj.,A1
3111,thank,v.,A2
3112,thank you,exclamation; n.,A1
3113,thanks,exclamation; n.,B2
3114,that,det.; pron.; conj.,A1
3115,the,definite article,A1
3116,the rest,,A2
3117,the Web,n.,A2
3118,theatre,n.,A2
3119,their,det.,A1
3120,theirs,pron.,A2
3121,them,pron.,A1
3122,theme,n.,B2
3123,themselves,pron.,A2
3124,then,adv.,A1
3125,theory,n.,B2
3126,there,adv.,A1
3127,therefore,adv.,B1
3128,they,pron.,A1
3129,thick,adj.,B1
3130,thickly,adv.,B2
3131,thickness,n.,B2
3132,thief,n.,B1
3133,thin,adj.,A2
3134,thing,n.,A1
3135,think,v.,A1
3136,thinking,n.,A2
3137,thirsty,adj.,A2
3138,this,det.; pron.,A1
3139,thorough,adj.,B2
3140,thoroughly,adv.,B2
3141,though,conj.; adv.,B1
3142,thought,n.,B1
3143,thread,n.,C2
3144,threat,n.,B2
3145,threaten,v.,B2
3146,threatening,adj.,B2
3147,throat,n.,B1
3148,through,prep.; adv.,A2
3149,throughout,prep.; adv.,C1
3150,throw,v.,A2
3151,throw sth away,,B1
3152,thumb,n.,B1
3153,Thursday,"n.; abbr. Thur., Thurs.",A1
3154,thus,adv.,B2
3155,ticket,n.,A1
3156,tidy,adj.; v.,A2
3157,tie,v.; n.,A2
3158,tie sth up,,B2
3159,tight,adj.; adv.,B1
3160,tightly,,B2
3161,"till, until",,A1
3162,time,n.,A1
3163,timetable,n.,A2
3164,tin,n.,B1
3165,tiny,adj.,B1
3166,tip,n.; v.,B1
3167,tire,v.; n.,A2
3168,tired,adj.,A1
3169,tiring,adj.,B1
3170,title,n.,B1
3171,"to, infinitive marker",prep.,A1
3172,today,adv.; n.,A1
3173,toe,n.,A2
3174,together,adv.,A1
3175,toilet,n.,A1
3176,tomato,n.,A1
3177,tomorrow,adv.; n.,A1
3178,ton,n.,B2
3179,tone,n.,B2
3180,tongue,n.,B1
3181,tonight,adv.; n.,A1
3182,tonne,n.,B2
3183,too,adv.,A1
3184,tool,n.,B2
3185,tooth,n.,A1
3186,top,n.; adj.,A2
3187,topic,n.,B1
3188,total,adj.; n.,B1
3189,totally,adv.,B1
3190,touch,v.; n.,B1
3191,tough,adj.,B2
3192,tour,n.; v.,A2
3193,tourist,n.,A2
